id,title,price,promo_price,url
3101510,Смесь молочная Nutrilon Комфорт 2 800г с 6 месяцев,1719.0,1119.0,https://www.detmir.ru/product/index/id/3101510/
3117644,Смесь Similac Голд 2 800г с 6месяцев,899.0,849.0,https://www.detmir.ru/product/index/id/3117644/
3798827,Смесь молочная Nutrilon Premium 1 800г с 0месяцев,839.0,,https://www.detmir.ru/product/index/id/3798827/
3249559,Смесь NAN 1 гипоаллергенная 800г с 0месяцев,1483.0,,https://www.detmir.ru/product/index/id/3249559/
3194079,Смесь молочная Kabrita 3 Gold 800г с 12месяцев,5499.0,1919.0,https://www.detmir.ru/product/index/id/3194079/
3163068,Смесь молочная Nestogen 1 1050г с 0месяцев,835.0,,https://www.detmir.ru/product/index/id/3163068/
3188085,Смесь Friso Gold 2 LockNutri 800г с 6месяцев,1269.0,925.0,https://www.detmir.ru/product/index/id/3188085/
2870401,Молочко детское Малютка 3 1200г 12 месяцев,1229.0,759.0,https://www.detmir.ru/product/index/id/2870401/
3168636,Смесь Nutrilon Премиум 1 1200г с 0месяцев,1319.0,,https://www.detmir.ru/product/index/id/3168636/
14471,Кашка ФрутоНяня молочная пшеничная 0.2л с 6месяцев,49.9,32.9,https://www.detmir.ru/product/index/id/14471/
2622361,Молочная смесь Бибиколь 2 с пребиотиками на основе козьего молока 800 г с 6-12 мес,3999.0,3579.0,https://www.detmir.ru/product/index/id/2622361/
3277741,Смесь молочная Nestogen 1 600г с 0месяцев,515.0,,https://www.detmir.ru/product/index/id/3277741/
1060571,"Кашка ФрутоНяня молочная овсяная с бананом 0,2 л с 6 месяцев",49.9,41.3,https://www.detmir.ru/product/index/id/1060571/
2622351,Молочная смесь Бибиколь 1 с пребиотиками на основе козьего молока 800 г с 0-6 мес,3969.0,,https://www.detmir.ru/product/index/id/2622351/
12431,Смесь NAN безлактозная 400г с 0 до 6мес,1145.0,,https://www.detmir.ru/product/index/id/12431/
2622371,Молочный напиток Бибиколь 3 на основе козьего молока 800 г с 12 мес,3271.0,2811.0,https://www.detmir.ru/product/index/id/2622371/
2866991,Смесь молочная Малютка 2 1200г с 6 месяцев,999.0,,https://www.detmir.ru/product/index/id/2866991/
511691,Пюре ФрутоНяня из говядины 80 г с 6 месяцев,82.9,66.3,https://www.detmir.ru/product/index/id/511691/
3117645,Молочко Similac Голд 3 800г с 12месяцев,1181.0,1019.0,https://www.detmir.ru/product/index/id/3117645/
3020739,Смесь молочная Nutrilak Premium 2 с 6 месяцев 600г,629.0,429.0,https://www.detmir.ru/product/index/id/3020739/
1920311,Пюре ФрутоНяня из индейки с овощами 100 г с 8 месяцев,64.9,51.9,https://www.detmir.ru/product/index/id/1920311/
3473255,Смесь Friso Пеп 400г с 0месяцев,1693.0,1353.0,https://www.detmir.ru/product/index/id/3473255/
3473214,Смесь Friso Вом 1 Комфорт 400г с 0месяцев,1205.0,1071.0,https://www.detmir.ru/product/index/id/3473214/
511741,Пюре ФрутоНяня из цыпленка 80 г с 6 месяцев,79.9,52.3,https://www.detmir.ru/product/index/id/511741/
3903749,Молочко Nestogen 3 900г с 12месяцев,1407.0,837.0,https://www.detmir.ru/product/index/id/3903749/
3127860,Смесь Nutricia Neocate LCP для детей с пищевой аллергией 400г c 0месяцев,2799.0,,https://www.detmir.ru/product/index/id/3127860/
3419876,Молочко детское Малютка 4 1200г с 18месяцев,1229.0,983.0,https://www.detmir.ru/product/index/id/3419876/
3162659,Смесь NAN Supreme 800г с 0месяцев,2031.0,,https://www.detmir.ru/product/index/id/3162659/
1688781,Смесь Nestle Peptamen Junior 400г с 1года,1689.0,,https://www.detmir.ru/product/index/id/1688781/
12351,Смесь Nestle Alfare для детей с аллергией на коровий белок 400г,1745.0,1469.0,https://www.detmir.ru/product/index/id/12351/
3798830,Молочко детское Nutrilon Premium 4 800г с 18месяцев,1611.0,939.0,https://www.detmir.ru/product/index/id/3798830/
3168637,Смесь Nutrilon Премиум 2 1200г с 6месяцев,1319.0,,https://www.detmir.ru/product/index/id/3168637/
3157298,Смесь Similac Классик 2 600г с 6месяцев,547.0,489.0,https://www.detmir.ru/product/index/id/3157298/
1920321,Пюре ФрутоНяня из говядины с овощами 100 г с 8 месяцев,64.9,51.9,https://www.detmir.ru/product/index/id/1920321/
3170018,Кашка молочная ФрутоНяня 5злаков с клубникой и бананом 0.5л с 3лет,81.9,72.9,https://www.detmir.ru/product/index/id/3170018/
511731,Пюре ФрутоНяня из индейки 80 г с 6 месяцев,87.9,69.9,https://www.detmir.ru/product/index/id/511731/
511721,Пюре ФрутоНяня из кролика 80 г с 6 месяцев,121.9,72.9,https://www.detmir.ru/product/index/id/511721/
3946611,Смесь молочная Nutrilak Premium 1 1050г с 0месяцев,1035.0,773.0,https://www.detmir.ru/product/index/id/3946611/
3175428,Смесь Nutrilak Пептиди СЦТ специализированная 350г с 0месяцев,1297.0,951.0,https://www.detmir.ru/product/index/id/3175428/
3253546,Напиток Бибиколь 4 на основе козьего молока 800г с 18 месяцев,3097.0,,https://www.detmir.ru/product/index/id/3253546/
3252842,Молокоотсос Medela Swing Flex электрический 101033781,12949.0,9609.0,https://www.detmir.ru/product/index/id/3252842/
3473208,Смесь Friso Вом 2 Комфорт 800г с 6месяцев,2291.0,1831.0,https://www.detmir.ru/product/index/id/3473208/
3020754,Смесь молочная Nutrilak Premium 3 с 12 месяцев 600г,629.0,423.0,https://www.detmir.ru/product/index/id/3020754/
3150405,Стульчик-качели Babyton 2в1 с пультом Д/У Beige TY838,31249.0,12369.0,https://www.detmir.ru/product/index/id/3150405/
3101508,Смесь молочная Nutrilon 1 гипоаллергенная 800г с 0 месяцев,1679.0,,https://www.detmir.ru/product/index/id/3101508/
3086595,Стульчик Babyton Happy Animals Beige E102,15419.0,6929.0,https://www.detmir.ru/product/index/id/3086595/
3627102,Смесь NAN Антиаллергия 400г с 0месяцев,1553.0,,https://www.detmir.ru/product/index/id/3627102/
501071,Смесь NAN 3 гипоаллергенный 400 г с 12 мес,933.0,859.0,https://www.detmir.ru/product/index/id/501071/
1420001,Смесь Nestle Alfare Allergy 400г с 0месяцев,1665.0,,https://www.detmir.ru/product/index/id/1420001/
3946612,Смесь молочная Nutrilak Premium 2 1050г с 6месяцев,1035.0,879.0,https://www.detmir.ru/product/index/id/3946612/
1060581,Кашка ФрутоНяня молочная злаковая 0.2л с 6месяцев,49.9,36.5,https://www.detmir.ru/product/index/id/1060581/
1391081,Стул для кормления Babyton Пурпурный,20299.0,7919.0,https://www.detmir.ru/product/index/id/1391081/
